Concepts under StatPP/Methods
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Methods/Geosp/LinInterp,"Linear Interpolation","LinInterp","A curve fitting method that uses linear polynomials to construct new data points with the range of a discrete set of known data points.",,
https://codes.nws.noaa.gov/StatPP/Methods/Geosp/0-1km,"0-1 km layer",0-1km,"Calculation of a property from 0-1 km",,
https://codes.nws.noaa.gov/StatPP/Methods/Geosp/ElevAdj,"Adjustment for Elevation","Adjustment for Elevation","Adjustment for elevation to a property.","http://codes.wmo.int/bufr4/b/25/_066",
https://codes.nws.noaa.gov/StatPP/Methods/Geosp/0-3km,"0-3 km layer",0-3km,"Calculation of a property from 0-3 km",,
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/PBLHght,"Planetary boundary layer height",PBLHght,"Calculation of height of planetary boundary layer","http://codes.wmo.int/ui/text-search?query=boundary+layer+height",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/SatDef,"Saturation deficit",SatDef,"Calculation of saturation deficit","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-5",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/SfcThetaE,"Equivalent potential temperature at the surface",SfcThetaE,"Calculation of equivalent potential temperature at surface","http://codes.wmo.int/grib2/codeflag/4.2/_0-0-3",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/AppTemp,"Apparent temperature",AppTemp,"Calculation of apparent temperature","http://codes.wmo.int/grib2/codeflag/4.2/_0-0-21",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/PrecipEff,"Precipitation efficiency",PrecipEff,"Calculation of precipitation efficiency",,
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/MU,"Most unstable",MU,"Calculation of a property at the most unstable level",,
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/MoistDiv,"Moisture divergence",MoistDiv,"Calculation of moisture divergence","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-38",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/LI,"Lifted index","LI","Calculation of lifted index (general)","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-10",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/FL_RH,"Relative humidity of a specified freezing level",FL_RH,"Calculation of relative humidity of specified freezing level",,
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/Thick,"Thickness",Thick,"Calculation of thickness of specified layer","http://codes.wmo.int/grib2/codeflag/4.2/_0-3-12",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/TopCldHght,"Cloud top height",TopCldHght,"Calculation of height of cloud top","http://codes.wmo.int/grib2/codeflag/4.2/_3-1-2",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/BaseCldHght,"Cloud base height",BaseCldHght,"Calculation of height of cloud base","http://codes.wmo.int/common/quantity-kind/_heightOfBaseOfCloud",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/TropHght,"Tropopause height",TropHght,"Calculation of tropopause height","http://codes.wmo.int/bufr4/codeflag/0-08-001/_3",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/LCL,"Lifted condensation level",LCL,"Calculation of lifted condensation level","http://codes.wmo.int/grib2/codeflag/4.5/_5",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/Layer,"Layer",Layer,"Calculation of some property over a definied layer with a specified start and end",,
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/LapRate,"Lapse rate",LapRate,"Calculation of lapse rate between two specified levels","http://codes.wmo.int/grib2/codeflag/4.2/_0-0-8",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/SfcLyr,"Surface layer",SfcLyr,"Calculation of surface layer of a property","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-7",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/BestLI,"Best (4-layer) lifted index","BestLI","Calculation of the best lifted index from 4 layers.  This comes from the EMC Unified Model Postprocessor.","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-11",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/TropTemp,"Temperature at the tropopause",TropTemp,"Calculation of temperature at topopause","http://codes.wmo.int/bufr4/b/12/_111",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/BL_RH,"Boundary layer relative humidity",BL_RH,"Calculation of relative humidity of boundary layer",,
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/FLHght,"Height of a specified freezing level",FLHght,"Calculation of height of specified freezing level","http://codes.wmo.int/bufr4/codeflag/0-08-041/_11",
https://codes.nws.noaa.gov/StatPP/Methods/Thermo/SeaSurf,"Sea surface",SeaSurf,"Calculation of a property at sea surface",,
