Concepts under StatPP/Data
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Data/Met/Misc/DOY,"Day of year",DOY,"Day of year","http://codes.wmo.int/bufr4/b/04/_043",
https://codes.nws.noaa.gov/StatPP/Data/Met/Misc/FlightCats,"Flight categories (VFR, MVFR, IFR, LIFR, VLIFR)",FlightCats,"Flight categories (VFR, MVFR, IFR, LIFR, VLIFR)","http://codes.wmo.int/bufr4/b/20/_006",
https://codes.nws.noaa.gov/StatPP/Data/Met/Misc/Albedo,"Average surface albedo",Albedo,"Average surface albedo","http://codes.wmo.int/grib2/codeflag/4.2/_2-0-4",
https://codes.nws.noaa.gov/StatPP/Data/Met/Misc/Terrain,"Terrain",Terrain,"Terrain","http://codes.wmo.int/grib2/codeflag/4.2/_2-0-7",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdMonRF0.10in_PRISMAmt_TotQPF,"Prod MonRF(0 .10"") * PRISMAmt * TotalQPF","ProdMonRF0.10in_PRISMAmt_TotQPF","Product of monthly relative frequency of .10"", PRISM precipitation amounts, and total QPF",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/POP,"Probability of precipitation",POP,"Probability of precipitation","http://codes.wmo.int/grib2/codeflag/4.2/_1-1-2",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/LMPFrozPred,"LAMP frozen/freezing predictor",LMPFrozPred,"Predictor for frozen vs. freezing precipitation from the convective LAMP",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdMonRF0.50in_SeasRF0.50in_CnvQPF,"Prod MonRF(0 .50"") * SeasRF(0.50"") * ConvQPF","ProdMonRF0.50in_SeasRF0.50in_CnvQPF","Product of monthly relative requency of .50"" of precipitation, seasonal relative frequency of .50"" of precipitation, and the convective QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/RadRefl,"Radar reflectivity","RadRefl","Radar reflectivity","http://codes.wmo.int/grib2/codeflag/4.2/0-16-4",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdMonRF0.10in_SeasRF0.10in_TotQPF,"Prod MonRF(0 .10"") * SeasRF(0.10"") * TotalQPF","ProdMonRF0.10in_SeasRF0.10in_TotQPF","Product of monthly relative requency of .10"" precipitation, seasonal relative frequency of .10"" of precipitation, and the total QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdSeasRF0.10in_TotQPF,"Prod SeasRF(0 .10"") * TotalQPF","ProdSeasRF0.10in_TotQPF","Product of seasonal relative frequency of 0.10"" of precipitation and the total QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/SnowLiqEquiv,"Liquid equivalent of snow depth","SnowLiqEquiv","Calculation of liquid equivalent of snow depth","http://codes.wmo.int/common/quantity-kind/_snowDepthWaterEquivalent",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/TotalPrecip,"Precipitation",TotalPrecip,"Precipitation","http://codes.wmo.int/common/quantity-kind/_totalPrecipitation",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/OpqSky,"Opaque Sky",OpqSky,"Opaque sky",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWxGroup2,"MOS 2000 Coded weather group 2 of 3","M2KCodedWxGroup2","In the MOS 2000 system, a coded representation of present weather information captured from an observation (e.g., METAR). This information is distilled into three integers (with inherent data loss). Interpretation of the integers can be found at the following URL: https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PQPF,"Probabilistic quantitative precipitation forecast",PQPF,"Probabilistic quantitative precipitation forecast",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/MVFRCond,"Marginal visual flight rules conditions",MVFRCond,"Marginal visual flight rules conditions","http://codes.wmo.int/bufr4/codeflag/0-20-006/_2",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PrbSNPrbFZProd,"Product of snow probability and frozen precipitation probability",PrbSNPrbFZProd,"Product of snow probability and frozen precipitation probability",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/LIFRCond,"Low instrument flight rules conditions",LIFRCond,"Low instrument flight rules conditions","http://codes.wmo.int/bufr4/codeflag/0-20-006/_0",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PredWx,"Predominant weather",PredWx,"Predominant weather",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdMonRF0.10in_TotQPF,"Prod MonRF(0 .10"") * TotalQPF","ProdMonRF0.10in_TotQPF","Product of monthly relative frequency of .10"" precipitation and the total QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ObsVision,"Obstruction to visibility",ObsVision,"Obstruction to visibility",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/FZRABin,"Binary freezing rain occurrence",FZRABin,"Binary freezing rain occurrence","http://codes.wmo.int/306/4678/_FZRA",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/TVVAvgRHProd,"Product of terrain vertical velocity and average relative humidity",TVVAvgRHProd,"Product of terrain vertical velocity and average relative humidity",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/MOSZRPred,"MOS freezing rain predictor",MOSZRPred,"MOS freezing rain predictor",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/2-hCnvPrbTopoProd,"Product of 2-h MOS convective probability and the topography",2-hCnvPrbTopoProd,"Product of 2-h MOS convective probability and the topography",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWxGroup1,"MOS 2000 Coded weather group 1 of 3","M2KCodedWxGroup1","In the MOS 2000 system, a coded representation of present weather information captured from an observation (e.g., METAR). This information is distilled into three integers (with inherent data loss). Interpretation of the integers can be found at the following URL: https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PrbSNPrbRProd,"Product of snow probability and rain probability",PrbSNPrbRProd,"Product of snow probability and rain probability",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/VFRCond,"Visual flight rules conditions",VFRCond,"Visual flight rules conditions","http://codes.wmo.int/bufr4/codeflag/0-20-006/_3",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/LMPPtypePred,"LAMP precipitation type predictor",LMPPtypePred,"LAMP predictor for freezing, frozen, or liquid precip via 7 ptype categories",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PrecipChar,"Precipitation characteristics",PrecipChar,"Precipitation characteristics",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PrecipOccur,"Precipitation occurrence",PrecipOccur,"Precipitation occurrence",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdSeasRF0.25in_TotQPF,"Prod SeasRF(0 .25"") * TotalQPF","ProdSeasRF0.25in_TotQPF","Product of seasonal relative frequency of 0.25"" of precipitation and the total QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdSeasRF0.50in_TotQPF,"Prod SeasRF(0 .50"") * TotalQPF","ProdSeasRF0.50in_TotQPF","Product of seasonal relative frequency of 0.50"" of precipitation and the total QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/IPBin,"Binary ice pellet occurrence",IPBin,"Binary ice pellet occurrence","http://codes.wmo.int/306/4678/_PL",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/WxGroup,"Weather group",WxGroup,"Weather group",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/IFRCond,"Instrument flight rules conditions",IFRCond,"Instrument flight rules conditions","http://codes.wmo.int/bufr4/codeflag/0-20-006/_1",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdMonRF0.25in_TotQPF,"Prod MonRF(0 .25"") * TotalQPF","ProdMonRF0.25in_TotQPF","Product of monthly relative frequency of .25"" precipitation and the total QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/MaxCompRadRefl,"Maximum composite radar reflectivity",MaxCompRadRefl,"Maximum composite radar reflectivity","http://codes.wmo.int/grib2/codeflag/4.2/_0-16-5",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ConvSnow,"Convective snow",ConvSnow,"Convective snow","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-14",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PType,"Precipitation type","PType","Precipitation type","http://codes.wmo.int/grib2/codeflag/4.2/0-1-19",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/TVVTotQPFProd,"Product of terrain vertical velocity and total QPF",TVVTotQPFProd,"Product of terrain vertical velocity and total QPF",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PrbSNPOPOccurProd,"Product of snow probability and probability of precipitation occurrence",PrbSNPOPOccurProd,"Product of snow probability and probability of precipitation occurrence",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/CPrecip,"Convective precipitation",CPrecip,"Convective precipitation","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-10",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/POPOccur,"Probability of precipitation occurrence",POPOccur,"Probability of precipitation occurrence",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/NCPrecip,"Non-covective precipictation",NCPrecip,"Non-convective precipitation","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-9",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/RNBin,"Binary rain occurrence",RNBin,"Binary rain occurrence","http://codes.wmo.int/306/4678/RA",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/MOSPtypePred,"MOS precipitation type predictor",MOSPtypePred,"Predictor using MOS temperature and dew point to display how likely precipitation is frozen or freezing",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdSeasRF0.75in_TotQPF,"Prod SeasRF(0 .75"") * TotalQPF","Prod SeasRF0 .75in_TotQPF","Product of seasonal relative frequency of 0.75"" of precipitation and the total QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/ProdMonRF0.50in_CnvQPF,"Prod MonRF(0 .50"") * ConvQPF","ProdMonRF0.50in_CnvQPF","Product of monthly relative frequency of .50"" precipitation and the convective QPF.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/SNBin,"Binary snow occurrence",SNBin,"Binary snow occurrence","http://codes.wmo.int/306/4678/SN",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/AvgRadRefl,"Average radar reflectivity",AvgRadRefl,"Average radar reflectivity",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/Vis,"Visibility","Visibility","Calculation of visibility","http://codes.wmo.int/grib2/codeflag/4.2/_0-19-0",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/PrbFZPOPOccurProd,"Product of frozen precipitation probability and probability of precipitation occurrence",PrbFZPOPOccurProd,"Product of frozen precipitation probability and probability of precipitation occurrence",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/2-hCnvPrbCnvRFProd,"Product of 2-h MOS convective probability and the 2-h convective relative frequency",2-hCnvPrbCnvRFProd,"Product of 2-h MOS convective probability and the 2-h convective relative frequency",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWxGroup3,"MOS 2000 Coded weather group 3 of 3","M2KCodedWxGroup3","In the MOS 2000 system, a coded representation of present weather information captured from an observation (e.g., METAR). This information is distilled into three integers (with inherent data loss). Interpretation of the integers can be found at the following URL: https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx.",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/208,"Drifting dust/sand",208,"DRDU, DRSS (Drifting dust, also drifting sand)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/31,"Light/moderate dust/sand storm",31,"DS, -DS, SS, -SS (Moderate duststorm, also light duststorm or light or moderate sandstorm)","http://codes.wmo.int/306/4678/SS , http://codes.wmo.int/306/4678/-SS , http://codes.wmo.int/306/4678/DS , http://codes.wmo.int/306/4678/-DS",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/44,"Partial fog",44,"PRFG (Partial fog)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/5,"Haze",5,"HZ (Haze)","http://codes.wmo.int/306/4678/HZ",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/16,"Showers in vicinity",16,"VCSH (Showers within sight, between 5 and 10 miles from the station)","http://codes.wmo.int/306/4678/VCSH",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/85,"Light snow shower",85,"-SHSN (Light snow showers)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/57,"Moderate/heavy freezing drizzle",57,"FZDZ, +FZDZ (Moderate or heavy freezing drizzle)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/98,"Thunderstorm with dust/sand",98,"TSDS, TSSS, +TSSS, +TSDS (Thunderstorm with dust or sand)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/10,"Mist",10,"BR (Mist with visibility > 5/8 sm and < 6 sm)","http://codes.wmo.int/306/4678/BR",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/51,"Light drizzle",51,"-DZ (Light continuous drizzle)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/36,"Drifting snow",36,"DRSN (Drifting snow)","http://codes.wmo.int/306/4678/DRSN",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/156,"Heavy freezing drizzle",156,"+FZDZ (Heavy freezing drizzle, AUTO only)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/77,"Snow grains",77,"SG, +SG, -SG (Snow grains)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/207,"Blowing spray",207,"BLPY (Blowing spray)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/71,"Light snow",71,"-SN (Light continuous snowfall)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/4,"Smoke",4,"FU (Smoke)","http://codes.wmo.int/306/4678/FU",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/84,"Moderate/heavy rain and snow shower",84,"SHRASN, SHSNRA, +SHRASN, +SHSNRA (moderate or heavy showers of rain/snow mixed)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/56,"Light freezing drizzle",56,"-FZDZ (Light freezing drizzle)",,
